Time,Port,Metric,Value
2026-05-06 12:55:19.000,1,obytes,0
2026-05-06 12:55:19.000,1,imissed,0
2026-05-06 12:55:19.000,1,ibytes,810
2026-05-06 12:55:19.000,1,rx_nombuf,0
2026-05-06 12:55:19.000,1,ipackets,3
2026-05-06 12:55:19.000,1,oerrors,0
2026-05-06 12:55:19.000,1,opackets,0
2026-05-06 12:55:19.000,1,ierrors,0
2026-05-06 12:55:19.000,0,obytes,0
2026-05-06 12:55:19.000,0,imissed,0
2026-05-06 12:55:19.000,0,ibytes,0
2026-05-06 12:55:19.000,0,rx_nombuf,0
2026-05-06 12:55:19.000,0,ipackets,0
2026-05-06 12:55:19.000,0,oerrors,0
2026-05-06 12:55:19.000,0,opackets,0
2026-05-06 12:55:19.000,0,ierrors,0
2026-05-06 12:55:20.000,1,obytes,0
2026-05-06 12:55:20.000,1,imissed,0
2026-05-06 12:55:20.000,1,ibytes,810
2026-05-06 12:55:20.000,1,rx_nombuf,0
2026-05-06 12:55:20.000,1,ipackets,3
2026-05-06 12:55:20.000,1,oerrors,0
2026-05-06 12:55:20.000,1,opackets,0
2026-05-06 12:55:20.000,1,ierrors,0
2026-05-06 12:55:20.000,0,obytes,0
2026-05-06 12:55:20.000,0,imissed,0
2026-05-06 12:55:20.000,0,ibytes,0
2026-05-06 12:55:20.000,0,rx_nombuf,0
2026-05-06 12:55:20.000,0,ipackets,0
2026-05-06 12:55:20.000,0,oerrors,0
2026-05-06 12:55:20.000,0,opackets,0
2026-05-06 12:55:20.000,0,ierrors,0
2026-05-06 12:55:21.000,1,obytes,0
2026-05-06 12:55:21.000,1,imissed,0
2026-05-06 12:55:21.000,1,ibytes,810
2026-05-06 12:55:21.000,1,rx_nombuf,0
2026-05-06 12:55:21.000,1,ipackets,3
2026-05-06 12:55:21.000,1,oerrors,0
2026-05-06 12:55:21.000,1,opackets,0
2026-05-06 12:55:21.000,1,ierrors,0
2026-05-06 12:55:21.000,0,obytes,0
2026-05-06 12:55:21.000,0,imissed,0
2026-05-06 12:55:21.000,0,ibytes,0
2026-05-06 12:55:21.000,0,rx_nombuf,0
2026-05-06 12:55:21.000,0,ipackets,0
2026-05-06 12:55:21.000,0,oerrors,0
2026-05-06 12:55:21.000,0,opackets,0
2026-05-06 12:55:21.000,0,ierrors,0
2026-05-06 12:55:22.000,1,obytes,0
2026-05-06 12:55:22.000,1,imissed,0
2026-05-06 12:55:22.000,1,ibytes,810
2026-05-06 12:55:22.000,1,rx_nombuf,0
2026-05-06 12:55:22.000,1,ipackets,3
2026-05-06 12:55:22.000,1,oerrors,0
2026-05-06 12:55:22.000,1,opackets,0
2026-05-06 12:55:22.000,1,ierrors,0
2026-05-06 12:55:22.000,0,obytes,0
2026-05-06 12:55:22.000,0,imissed,0
2026-05-06 12:55:22.000,0,ibytes,273
2026-05-06 12:55:22.000,0,rx_nombuf,0
2026-05-06 12:55:22.000,0,ipackets,1
2026-05-06 12:55:22.000,0,oerrors,0
2026-05-06 12:55:22.000,0,opackets,0
2026-05-06 12:55:22.000,0,ierrors,0
2026-05-06 12:55:23.000,1,obytes,0
2026-05-06 12:55:23.000,1,imissed,0
2026-05-06 12:55:23.000,1,ibytes,810
2026-05-06 12:55:23.000,1,rx_nombuf,0
2026-05-06 12:55:23.000,1,ipackets,3
2026-05-06 12:55:23.000,1,oerrors,0
2026-05-06 12:55:23.000,1,opackets,0
2026-05-06 12:55:23.000,1,ierrors,0
2026-05-06 12:55:23.000,0,obytes,0
2026-05-06 12:55:23.000,0,imissed,0
2026-05-06 12:55:23.000,0,ibytes,273
2026-05-06 12:55:23.000,0,rx_nombuf,0
2026-05-06 12:55:23.000,0,ipackets,1
2026-05-06 12:55:23.000,0,oerrors,0
2026-05-06 12:55:23.000,0,opackets,0
2026-05-06 12:55:23.000,0,ierrors,0
2026-05-06 12:55:24.000,1,obytes,0
2026-05-06 12:55:24.000,1,imissed,0
2026-05-06 12:55:24.000,1,ibytes,810
2026-05-06 12:55:24.000,1,rx_nombuf,0
2026-05-06 12:55:24.000,1,ipackets,3
2026-05-06 12:55:24.000,1,oerrors,0
2026-05-06 12:55:24.000,1,opackets,0
2026-05-06 12:55:24.000,1,ierrors,0
2026-05-06 12:55:24.000,0,obytes,0
2026-05-06 12:55:24.000,0,imissed,0
2026-05-06 12:55:24.000,0,ibytes,273
2026-05-06 12:55:24.000,0,rx_nombuf,0
2026-05-06 12:55:24.000,0,ipackets,1
2026-05-06 12:55:24.000,0,oerrors,0
2026-05-06 12:55:24.000,0,opackets,0
2026-05-06 12:55:24.000,0,ierrors,0
2026-05-06 12:55:25.000,1,obytes,0
2026-05-06 12:55:25.000,1,imissed,0
2026-05-06 12:55:25.000,1,ibytes,810
2026-05-06 12:55:25.000,1,rx_nombuf,0
2026-05-06 12:55:25.000,1,ipackets,3
2026-05-06 12:55:25.000,1,oerrors,0
2026-05-06 12:55:25.000,1,opackets,0
2026-05-06 12:55:25.000,1,ierrors,0
2026-05-06 12:55:25.000,0,obytes,0
2026-05-06 12:55:25.000,0,imissed,0
2026-05-06 12:55:25.000,0,ibytes,273
2026-05-06 12:55:25.000,0,rx_nombuf,0
2026-05-06 12:55:25.000,0,ipackets,1
2026-05-06 12:55:25.000,0,oerrors,0
2026-05-06 12:55:25.000,0,opackets,0
2026-05-06 12:55:25.000,0,ierrors,0
2026-05-06 12:55:26.000,1,obytes,0
2026-05-06 12:55:26.000,1,imissed,0
2026-05-06 12:55:26.000,1,ibytes,810
2026-05-06 12:55:26.000,1,rx_nombuf,0
2026-05-06 12:55:26.000,1,ipackets,3
2026-05-06 12:55:26.000,1,oerrors,0
2026-05-06 12:55:26.000,1,opackets,0
2026-05-06 12:55:26.000,1,ierrors,0
2026-05-06 12:55:26.000,0,obytes,0
2026-05-06 12:55:26.000,0,imissed,0
2026-05-06 12:55:26.000,0,ibytes,273
2026-05-06 12:55:26.000,0,rx_nombuf,0
2026-05-06 12:55:26.000,0,ipackets,1
2026-05-06 12:55:26.000,0,oerrors,0
2026-05-06 12:55:26.000,0,opackets,0
